disaster_id,year,month,disaster_type,disaster_name,primary_affect,secondary_affect,state_name,crops_affected,season,nature_of_disaster
25,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Missouri,cardamon,monsoon,seasonal
26,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Montana,black pepper,monsoon,seasonal
27,1996,oct,Flood,Flood,heavy rainfall ,affects crops,Nebraska,barley,monsoon,seasonal
28,1996,nov,Wind storm,Cyclone,affects rainfall,affects crops,Nevada,millets ,autumn,seasonal
29,1996,dec,Wind storm,Cyclone,affects rainfall,affects crops,New Hampshire,wheat,autumn,seasonal
30,1996,mar,Drought,Drought,no rainfall,affects crops,New Jersey,moong,autumn,occasional
31,1996,jul,Wind storm,Cyclone,affects rainfall,affects crops,New Mexico,coffee,winter,seasonal
32,1996,jul,Wind storm,Cyclone,affects rainfall,affects crops,New York,gram,winter,seasonal
33,1996,jul,Flood,Flood,heavy rainfall ,affects crops,North Carolina,jute,monsoon,seasonal
34,1996,jul,Flood,Flood,heavy rainfall ,affects crops,North Dakota,maize,monsoon,seasonal
35,1996,jul,Flood,Flood,heavy rainfall ,affects crops,Ohio,chillies ,monsoon,seasonal
36,1996,jul,Flood,Flood,heavy rainfall ,affects crops,Oklahoma,peas & beans ,monsoon,seasonal
37,1996,jul,Flood,Flood,heavy rainfall ,affects crops,Oregon,millets (small),autumn,seasonal
38,1996,jul,Flood,Flood,heavy rainfall ,affects crops,Pennsylvania,potato,autumn,seasonal
39,1996,jul,Flood,Flood,heavy rainfall ,affects crops,Rhode Island,mesta,autumn,seasonal
40,1996,jul,Flood,Flood,heavy rainfall ,affects crops,South Carolina,ragi,autumn,seasonal
41,1996,jul,Flood,Flood,heavy rainfall ,affects crops,South Dakota,onion,autumn,seasonal
42,1996,jul,Slide,Landslide,heavy rain ,affects crops ,Tennessee,banana,autumn,seasonal
43,1996,may,Earthquake,Earthquake,human affect,building affect,Texas,paddy,summer,occasional
44,1996,may,Earthquake,Earthquake,human affect,building affect,Utah,sugarcane,summer,occasional
45,1996,nov,Flood,Flood,heavy rainfall ,affects crops,Vermont,paddy,autumn,seasonal
46,1996,nov,Flood,Flood,heavy rainfall ,affects crops,Virginia,sugarcane,autumn,seasonal
47,1996,jan,Slide,Landslide,affects the whole place,affects crops,Washington,other oilseeds,winter,seasonal
48,1996,jan,Slide,Landslide,affects the whole place,affects crops,West Virginia,sunflower,summer,seasonal
49,1996,jan,Slide,Landslide,affects the whole place,affects crops,Wisconsin,rape-seed & mustard,winter,seasonal
50,1996,jul,Slide,Landslide,affects the whole place,affects crops,Wyoming,cashewnut,winter,seasonal
51,1997,jun,Slide,Landslide,affects the whole place,affects crops,Montgomery,other oilseeds,monsoon,seasonal
52,1997,jun,Slide,Landslide,affects the whole place,affects crops,Juneau,sunflower,winter,seasonal
53,1997,aug,Slide,Landslide,affects the whole place,affects crops,Phoenix,rape-seed & mustard,winter,seasonal
54,1997,aug,Slide,Landslide,affects the whole place,affects crops,Little Rock,cashewnut,winter,seasonal
55,1997,aug,Slide,Landslide,affects the whole place,affects crops,Sacramento,paddy,winter,seasonal
56,1997,aug,Slide,Landslide,affects the whole place,affects crops,Denver,coriander,monsoon,seasonal
57,1997,aug,Flood,Flood,no rainfall,affects crops,Hartford,jute,monsoon,seasonal
58,1997,aug,Wave/surge,Tidal wave,affects rainfall,affects crops,Dover,maize,monsoon,occasional
59,1997,aug,Wind storm,Cyclone,affects rainfall,affects crops,Tallahassee,chillies ,monsoon,seasonal
60,1997,aug,Wind storm,Cyclone,affects rainfall,affects crops,Atlanta,peas & beans ,monsoon,seasonal
61,1997,aug,Wind storm,Cyclone,affects rainfall,affects crops,Honolulu,millets (small),monsoon,seasonal
62,1997,aug,Wind storm,Cyclone,affects rainfall,affects crops,Boise,potato,monsoon,seasonal
63,1997,sep,Flood,Flood,heavy rainfall ,affects crops,Springfield,mesta,autumn,seasonal
64,1997,jun,Flood,Flood,heavy rainfall ,affects crops,Indianapolis,ragi,summer,seasonal
65,1997,jun,Flood,Flood,heavy rainfall ,affects crops,Des Moines,onion,summer,seasonal
66,1997,jun,Flood,Flood,heavy rainfall ,affects crops,Topeka,banana,summer,seasonal
67,1997,jun,Flood,Flood,,affects crops,Frankfort,paddy,summer,seasonal
68,1997,jun,Flood,Flood,heavy rainfall ,affects crops,Baton Rouge,sugarcane,winter,seasonal
69,1997,aug,Flood,Flood,heavy rainfall ,affects crops,Augusta,other oilseeds,winter,seasonal
70,1997,aug,Flood,Flood,heavy rainfall ,affects crops,Annapolis,sunflower,winter,seasonal
71,1997,sep,Flood,Flood,heavy rainfall ,affects crops,Boston,rape-seed & mustard,monsoon,seasonal
72,1997,sep,Flood,Flood,heavy rainfall ,affects crops,Lansing,cashewnut,winter,seasonal
73,1997,mar,Slide,Landslide,affects the whole place,affects crops,St. Paul,paddy,spring,
74,1997,mar,Slide,Landslide,affects the whole place,affects crops,Jackson,coriander,spring,seasonal
75,1998,mar,Wind storm,Tornado,affects rainfall,affects crops,Jefferson City,urad,spring,seasonal
76,1998,mar,Wind storm,Tornado,affects rainfall,affects crops,Helena,sunflower,spring,seasonal
77,1998,mar,Wind storm,Tornado,affects rainfall,affects crops,Lincoln,tea,summer,seasonal
78,1998,mar,Wind storm,Tornado,affects rainfall,affects crops,Carson City,arhar,summer,seasonal
79,1998,jun,Slide,Landslide,affects the whole place,affects crops,Concord,chillies (dry),summer,seasonal
80,1998,jun,Slide,Landslide,,affects crops,Trenton,urad,summer,seasonal
81,1998,jun,Slide,Landslide,affects the whole place,affects crops,Santa Fe,ginger (dry),monsoon,seasonal
82,1998,jun,Slide,Landslide,affects the whole place,affects crops,Albany,cardamon,monsoon,seasonal
83,1998,jun,Slide,Landslide,affects the whole place,affects crops,Raleigh,black pepper,monsoon,seasonal
84,1998,jun,Wind storm,Cyclone,affects rainfall,affects crops,Bismarck,barley,monsoon,seasonal
85,1998,jun,Wind storm,Cyclone,affects rainfall,affects crops,Columbus,millets ,monsoon,seasonal
86,1998,may,Extreme temp,Heat wave,Hot wind,affects crops,Oklahoma City,wheat,summer,occasional
87,1998,aug,Slide,Landslide,affects the whole place,affects crops,Salem,moong,autumn,seasonal
88,1998,aug,Slide,Landslide,affects the whole place,affects crops,Harrisburg,coffee,monsoon,seasonal
89,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Providence,gram,autumn,seasonal
90,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Columbia,jute,autumn,seasonal
91,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Pierre,maize,autumn,seasonal
92,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Nashville,chillies ,autumn,seasonal
93,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Austin,wheat,autumn,seasonal
94,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Salt Lake City,moong,autumn,seasonal
95,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Montpelier,coffee,autumn,seasonal
96,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Richmond,gram,autumn,seasonal
97,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Olympia,jute,autumn,seasonal
98,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Charleston,maize,winter,seasonal
99,1998,oct,Wind storm,Cyclone,,affects crops,Madison,chillies ,winter,seasonal
100,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Cheyenne,groundnut,winter,seasonal
101,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Alabama,ragi,winter,seasonal
102,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Alaska,onion,spring,seasonal
103,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Arizona,banana,spring,seasonal
104,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Arkansas,paddy,spring,seasonal
105,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,California,sugarcane,autumn,seasonal
106,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Colorado,other oilseeds,autumn,
107,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Connecticut,sunflower,autumn,seasonal
108,1998,oct,Wind storm,Cyclone,affects rainfall,affects crops,Delaware,rape-seed & mustard,autumn,seasonal
109,1998,nov,Wind storm,Storm,affects rainfall,affects crops,Florida,cashewnut,autumn,seasonal
110,1998,aug,Flood,Flood,heavy rainfall ,affects crops,Georgia,paddy,monsoon,seasonal
111,1998,mar,Slide,Avalanche,affects the whole place,affects crops,Hawaii,coriander,spring,seasonal
112,1998,sep,Flood,Flood,heavy rainfall ,affects crops,Idaho,urad,monsoon,seasonal
113,1998,sep,Flood,Flood,heavy rainfall ,affects crops,Illinois,sunflower,monsoon,seasonal
114,1998,dec,Extreme temp,Cold wave,cold wind,affects crops ,Indiana,tea,autumn,occasional
115,1998,mar,Earthquake,Earthquake,human affect,building affect,Iowa,arhar,spring,occasional
116,1999,apr,Wild fire,Forest,affects crops,affects crops,Kansas,chillies (dry),summer,occasional
117,1999,apr,Extreme temp,Heat wave,Hot wind,affects crops,Kentucky,urad,summer,occasional
118,1999,may,Wind storm,Cyclone,affects rainfall,affects crops,Louisiana,ginger (dry),summer,seasonal
119,1999,jun,Flood,Flood,heavy rainfall ,affects crops,Maine,cardamon,monsoon,seasonal
120,1999,oct,Wind storm,Cyclone,affects rainfall,affects crops,Maryland,black pepper,autumn,seasonal
121,1999,oct,Wind storm,Cyclone,affects rainfall,affects crops,Massachusetts,maize,autumn,seasonal
122,1999,jan,Extreme temp,Cold wave,human affect,building affect,Michigan,chillies ,winter,occasional
123,1999,oct,Extreme  temp,Heat  wave,Hot wind,affects crops,Minnesota,maize,autumn,occasional
124,1999,jun,Extreme  temp,Heat  wave,Hot wind,affects crops,Mississippi,chillies ,summer,occasional
125,1999,jul,Flood,Flood,heavy rainfall ,affects crops,Missouri,peas & beans ,monsoon,seasonal
126,1999,oct,Slide,Landslide,affects the whole place,affects crops,Montana,millets (small),autumn,seasonal
127,1999,dec,Flood,Flood,heavy rainfall ,affects crops,Nebraska,potato,winter,seasonal
128,1999,oct,Earthquake,Earthquake,human affect,building affect,Nevada,mesta,autumn,occasional
129,1999,jan,Earthquake,Earthquake,human affect,building affect,New Hampshire,ragi,winter,occasional
130,1999,may,Flood,Flood,heavy rainfall ,affects crops,New Jersey,onion,summer,seasonal
131,1999,jun,Wind storm,Cyclone,affects rainfall,affects crops,New Mexico,banana,summer,seasonal
132,1999,jul,Slide,Landslide,affects the whole place,affects crops,New York,paddy,monsoon,seasonal
133,1999,aug,Flood,Flood,heavy rainfall ,affects crops,North Carolina,sugarcane,monsoon,seasonal
134,1999,sep,Wind storm,Cyclone,affects rainfall,affects crops,North Dakota,other oilseeds,monsoon,seasonal
135,1999,nov,Wind storm,Cyclone,affects rainfall,affects crops,Ohio,sunflower,autumn,seasonal
136,1999,sep,Extreme  temp,Cold wave,heavy rain ,affects crops ,Oklahoma,rape-seed & mustard,monsoon,occasional
137,1999,oct,Flood,Flood,heavy rainfall ,affects crops,Oregon,cashewnut,monsoon,seasonal
138,1999,nov,Slide,Landslide,affects the whole place,affects crops,Pennsylvania,paddy,autumn,seasonal
139,1999,jul,Slide,Landslide,occasional,affects crops,Rhode Island,coriander,monsoon,seasonal
140,1999,oct,Extreme  temp,Cold wave,cold wind,affects crops ,South Carolina,urad,autumn,occasional
141,1999,jan,Wind storm,Cyclone,affects rainfall,affects crops,South Dakota,sunflower,winter,seasonal
142,1999,feb,Flood,Flood,heavy rainfall ,affects crops,Tennessee,tea,spring,seasonal
143,1999,mar,Wind storm,Cyclone,affects rainfall,affects crops,Texas,arhar,spring,seasonal
144,2000,apr,Drought,Drought,no rainfall,affects crops,Utah,wheat,autumn,seasonal
145,2000,apr,Extreme temp,Heat wave,Hot wind,affects crops,Vermont,moong,winter,occasional
146,2000,jun,Flood,Flood,heavy rainfall ,affects crops,Virginia,coffee,summer,seasonal
147,2000,jun,Slide,Landslide,affects the whole place,affects crops,Washington,gram,summer,seasonal
148,2000,jul,Slide,Landslide,affects the whole place,affects crops,West Virginia,jute,summer,seasonal
149,2000,jul,Flood,Flood,heavy rainfall ,affects crops,Wisconsin,maize,monsoon,seasonal
150,2000,aug,Flood,Flood,heavy rainfall ,affects crops,Wyoming,chillies ,monsoon,seasonal
151,2000,aug,Slide,Landslide,affects the whole place,affects crops,Montgomery,groundnut,monsoon,seasonal
152,2000,aug,Flood,Flood,heavy rainfall ,affects crops,Juneau,ragi,monsoon,seasonal
153,2000,sept,Flood,Flood,heavy rainfall ,affects crops,Phoenix,onion,monsoon,seasonal
154,2000,nov,Drought,Drought,no rainfall,affects crops,Little Rock,banana,spring,occasional
155,2000,aug,Flood,Flood,heavy rainfall ,affects crops,Sacramento,paddy,monsoon,seasonal
156,2000,nov,Wind storm,Cyclone,affects rainfall,affects crops,Denver,sugarcane,autumn,seasonal
157,2000,oct,Flood,Flood,heavy rainfall ,affects crops,Hartford,other oilseeds,autumn,seasonal
158,2000,nov,Wind storm,Cyclone,affects rainfall,affects crops,Dover,sunflower,autumn,seasonal
159,2000,may,Exterme temp,Heat Wave,Hot wind,affects crops,Tallahassee,rape-seed & mustard,summer,occasional
160,2001,nov,Slide,Land Slide,affects the whole place,affects crops,Atlanta,cashewnut,autumn,seasonal
161,2001,oct,Wind storm,Cyclone,affects rainfall,affects crops,Honolulu,castor seed,summer,seasonal
162,2001,oct,Wind storm,Cyclone,affects rainfall,affects crops,Boise,cotton,monsoon,seasonal
163,2001,oct,Wind storm,Cyclone,affects rainfall,affects crops,Springfield,ginger (dry),monsoon,seasonal
164,2001,oct,Wind storm,Cyclone,affects rainfall,affects crops,Indianapolis,cardamon,monsoon,seasonal
165,2001,oct,Wind storm,Cyclone,affects rainfall,affects crops,Des Moines,black pepper,summer,seasonal
166,2001,sep,Flood,Flood,heavy rainfall ,affects crops,Topeka,barley,summer,seasonal
167,2001,aug,Flood,Flood,heavy rainfall ,affects crops,Frankfort,millets ,monsoon,seasonal
168,2001,aug,Drought,Drought,no rainfall,affects crops,Baton Rouge,wheat,monsoon,occasional
169,2001,jul,Flood,Flood,heavy rainfall ,affects crops,Augusta,moong,monsoon,seasonal
170,2001,jul,Flood,Flood,heavy rainfall ,affects crops,Annapolis,coffee,monsoon,seasonal
171,2001,jul,Flood,Flood,heavy rainfall ,affects crops,Boston,gram,monsoon,seasonal
172,2001,jul,Flood,Flood,heavy rainfall ,affects crops,Lansing,jute,monsoon,seasonal
173,2001,jul,Flood,Flood,heavy rainfall ,affects crops,St. Paul,maize,monsoon,seasonal
174,2001,jul,Flood,Flood,heavy rainfall ,affects crops,Jackson,chillies ,monsoon,seasonal
175,2001,sep,Flood,Flood,heavy rainfall ,affects crops,Jefferson City,gram,autumn,seasonal
176,2001,jan,Earthquake,Earthquake,human affect,building affect,Helena,jute,winter,occasional
177,2001,mar,Flood,Flood,heavy rainfall ,affects crops,Lincoln,maize,spring,seasonal
178,2001,may,Flood,Flood,heavy rainfall ,affects crops,Carson City,chillies ,summer,seasonal
179,2001,may,Flood,Flood,heavy rainfall ,affects crops,Concord,wheat,monsoon,seasonal
180,2001,jun,Flood,Flood,heavy rainfall ,affects crops,Trenton,moong,summer,seasonal
181,2001,jun,Wind storm,Cyclone,affects rainfall,affects crops,Santa Fe,coffee,summer,seasonal
182,2001,jul,Extreme temp,Cold wave,cold wind,affects crops ,Albany,gram,monsoon,occasional
183,2002,jan,Exterme temp,Cold Wave,cold wind,affects crops,Raleigh,groundnut,winter,occasional
184,2002,aug,Flood,Flood,heavy rainfall ,affects crops ,Bismarck,peas & beans ,autumn,seasonal
185,2002,aug,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Columbus,millets (small),autumn,occasional
186,2002,aug,Flood,Flood,affects cropss,affects crops,Oklahoma City,potato,autumn,seasonal
187,2002,aug,Flood,Flood,heavy rainfall ,affects crops ,Salem,mesta,monsoon,seasonal
188,2002,jul,Flood,Flood,heavy rainfall,affects crops ,Harrisburg,ragi,monsoon,seasonal
189,2002,jul,Slide,Land Slide,affects the whole place,affects crops ,Providence,onion,monsoon,seasonal
190,2002,jul,Drought,Drought,no rainfall,affects crops,Columbia,banana,monsoon,occasional
191,2002,jun,Flood,Flood,heavy rainfall,affects crops ,Pierre,paddy,summer,seasonal
192,2002,jun,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Nashville,sugarcane,summer,occasional
193,2002,jun,Flood,Flood,heavy rainfall,affects crops ,Austin,other oilseeds,summer,seasonal
194,2002,jan,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Salt Lake City,sunflower,winter,occasional
195,2002,nov,Flood,Flood,heavy rainfall,affects crops ,Montpelier,rape-seed & mustard,autumn,seasonal
196,2002,sep,Flood,Flood,heavy rainfall,affects crops ,Richmond,cashewnut,monsoon,seasonal
197,2002,nov,Wind storm,Cyclone,affects rainfall,affects crops,Olympia,ragi,monsoon,seasonal
198,2002,nov,Wind storm,Cyclone,affects rainfall,affects crops,Charleston,onion,monsoon,seasonal
199,2002,nov,Flood,Flood,heavy rainfall ,affects crops,Madison,banana,autumn,seasonal
200,2002,nov,Flood,Flood,heavy rainfall ,affects crops,Cheyenne,paddy,autumn,seasonal
201,2002,nov,Flood,Flood,heavy rainfall ,affects crops,Alabama,sugarcane,autumn,seasonal
202,2002,jan,Slide,Landslide,affects the whole place,affects crops,Alaska,other oilseeds,winter,seasonal
203,2002,jan,Slide,Landslide,affects the whole place,affects crops,Arizona,sunflower,winter,seasonal
204,2002,jan,Slide,Landslide,affects the whole place,affects crops,Arkansas,rape-seed & mustard,winter,seasonal
205,2002,jul,Slide,Landslide,affects the whole place,affects crops,California,cashewnut,monsoon,seasonal
206,2003,dec,Exterme Cold,Cold Wave,cold wind,affects crops,Colorado,paddy,winter,occasional
207,2003,dec,Wind storm,Cyclone,affects rainfall,affects crops,Connecticut,coriander,winter,seasonal
208,2003,aug,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Delaware,urad,monsoon,occasional
209,2003,aug,Slide,Land Slide,affects the whole place,affects crops ,Florida,sunflower,monsoon,seasonal
210,2003,jul,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Georgia,tea,monsoon,occasional
211,2003,jun,Flood,Flood,heavy rainfall,affects crops ,Hawaii,arhar,summer,seasonal
212,2003,may,Exterme temp,Heat Wave,hot wind,affects crops,Idaho,chillies (dry),summer,occasional
213,2003,apr,Storm,Storm,affects rainfall,affects crops ,Illinois,urad,summer,seasonal
214,2003,mar,High Wind,Hailstorm,affects rainfall,affects crops ,Indiana,ginger (dry),spring,occasional
215,2003,mar,Flood,Flood,heavy rainfall,affects crops ,Iowa,cardamon,spring,seasonal
216,2003,mar,Slide,Avalanche,affects the whole place,affects crops ,Kansas,black pepper,spring,seasonal
217,2003,jan,Exterme temp,Cold Wave,cold wind,affects crops,Kentucky,barley,spring,occasional
218,2003,aug,Earthquake,Earthquake,affects the whole place,building affect,Louisiana,coffee,monsoon,occasional
219,2003,aug,Earthquake,Earthquake,affects the whole place,building affect,Maine,gram,monsoon,occasional
220,2003,aug,Earthquake,Earthquake,affects the whole place,building affect,Maryland,jute,monsoon,occasional
221,2003,aug,Earthquake,Earthquake,affects the whole place,building affect,Massachusetts,maize,monsoon,occasional
222,2003,aug,Earthquake,Earthquake,affects the whole place,building affect,Michigan,chillies ,monsoon,occasional
223,2003,jan,Wind storm,Cyclone,affects rainfall,affects crops,Minnesota,wheat,winter,seasonal
224,2003,jan,Wind storm,Cyclone,affects rainfall,affects crops,Mississippi,moong,winter,seasonal
225,2003,jan,Wind storm,Cyclone,affects rainfall,affects crops,Missouri,coffee,winter,seasonal
226,2003,jan,Wind storm,Cyclone,affects rainfall,affects crops,Montana,gram,winter,seasonal
227,2003,nov,Wind storm,Cyclone,affects rainfall,affects crops,Nebraska,jute,monsoon,seasonal
228,2003,may,Slide,Landslide,affects the whole place,affects crops,Nevada,maize,summer,seasonal
229,2003,may,Flood,Flood,heavy rainfall ,affects crops,New Hampshire,chillies ,summer,seasonal
230,2003,mar,Flood,Flood,heavy rainfall ,affects crops,New Jersey,groundnut,spring,seasonal
231,2004,feb,Slide,Avalanche,affects the whole place,affects crops ,New Mexico,millets ,spring,seasonal
232,2004,dec,High Rainfall,Tsunami,heavy rainfall,affects crops ,New York,wheat,winter,seasonal
233,2004,oct,Torrential rain,Flash Flood,heavy rainfall,affects crops ,North Carolina,moong,autumn,occasional
234,2004,sep,Torrential rain,Flash Flood,heavy rainfall,affects crops ,North Dakota,coffee,monsoon,occasional
235,2004,sep,Flood,Flood,heavy rainfall,affects crops ,Ohio,gram,autumn,seasonal
236,2004,aug,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Oklahoma,jute,monsoon,occasional
237,2004,aug,Mud Strom,Dust storm,affects rainfall,affects crops ,Oregon,maize,monsoon,occasional
238,2004,jun,Flood,Flood,heavy rainfall,affects crops ,Pennsylvania,chillies ,summer,seasonal
239,2004,jun,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Rhode Island,peas & beans ,summer,occasional
240,2004,aug,Drought,Drought,no rainfall,affects crops,South Carolina,paddy,monsoon,occasional
241,2004,sep,Insect infestation,Insect infestation,affects crops,affects rainfall,South Dakota,sugarcane,autumn,occasional
242,2004,oct,Flood,Flood,affects crops,affects rainfall,Tennessee,other oilseeds,autumn,seasonal
243,2004,dec,Flood,Flood,cold wind,cold wind,Texas,sunflower,winter,seasonal
244,2004,nov,Wind storm,Cyclone,affects rainfall,affects crops,Utah,rape-seed & mustard,autumn,seasonal
245,2004,aug,Extreme temp,Heat wave,Hot wind,affects crops,Vermont,cashewnut,monsoon,occasional
246,2004,aug,Slide,Avalanche,affects the whole place,affects crops,Virginia,paddy,monsoon,seasonal
247,2004,sep,Extreme temp,Heat wave,Hot wind,affects crops,Washington,coriander,monsoon,occasional
248,2004,sep,Extreme temp,Heat wave,Hot wind,affects crops,West Virginia,urad,monsoon,occasional
249,2004,dec,Wind storm,Cyclone,affects rainfall,affects crops,Wisconsin,barley,winter,seasonal
250,2004,jun,Wind storm,Cyclone,affects rainfall,affects crops,Wyoming,millets ,summer,seasonal
251,2004,jun,Flood,Flood,heavy rainfall ,affects crops,Montgomery,wheat,summer,seasonal
252,2004,apr,Flood,Flood,heavy rainfall ,affects crops,Juneau,moong,summer,seasonal
253,2004,apr,Flood,Flood,heavy rainfall ,affects crops,Phoenix,coffee,summer,seasonal
254,2004,may,Flood,Flood,heavy rainfall ,affects crops,Little Rock,gram,summer,seasonal
255,2004,jun,Earthquake,Earthquake,heavy rain ,affects crops ,Sacramento,jute,summer,occasional
256,2004,jul,Flood,Flood,heavy rainfall ,affects crops,Denver,maize,monsoon,seasonal
257,2004,aug,Flood,Flood,heavy rainfall ,affects crops,Hartford,chillies ,monsoon,seasonal
258,2004,jun,Flood,Flood,heavy rainfall ,affects crops,Dover,wheat,winter,seasonal
259,2004,apr,Flood,Flood,heavy rainfall ,affects crops,Tallahassee,moong,summer,seasonal
260,2004,apr,Flood,Flood,heavy rainfall ,affects crops,Atlanta,coffee,summer,seasonal
261,2005,jan,Exterme temp,Cold Wave,cold wind,affects crops,Honolulu,millets (small),winter,occasional
262,2005,dec,Torrential rains,Flash Flood,heavy rainfall,affects crops ,Boise,potato,winter,occasional
263,2005,nov,Flood,Flood,heavy rainfall,affects crops ,Springfield,mesta,autumn,seasonal
264,2005,oct,Flood,Flood,heavy rainfall,affects crops ,Indianapolis,ragi,monsoon,seasonal
265,2005,oct,Earthquake,Earthquake,affect the whole place,building affect,Des Moines,onion,monsoon,occasional
266,2005,sep,Storm,Storm,affects rainfall,affects crops ,Topeka,banana,monsoon,seasonal
267,2005,aug,Torrential rain,Flash Flood,heavy rainfall,affects crops ,Frankfort,paddy,monsoon,occasional
268,2005,aug,Slide,Land Slide,affects the whole place,affects crops ,Baton Rouge,sugarcane,monsoon,seasonal
269,2005,jul,Slide,Land Slide,affects the whole place,affects crops ,Augusta,other oilseeds,monsoon,seasonal
270,2005,jun,Flood,Flood,heavy rainfall,affects crops ,Annapolis,sunflower,summer,seasonal
271,2005,may,Slide,Land Slide,affects the whole place,affects crops ,Boston,rape-seed & mustard,summer,seasonal
272,2005,may,Exterme temp,Heat Wave,hot wind,affects crops,Lansing,cashewnut,summer,occasional
273,2005,apr,Storm,Storm,affects the whole place,affects crops ,St. Paul,paddy,summer,seasonal
274,2005,apr,Storm,Storm,affects the whole place,affects crops ,Jackson,coriander,summer,seasonal
275,2005,oct,Extreme  temp,Cold wave,cold wind,affects crops,Jefferson City,peas & beans ,summer,occasional
276,2005,dec,Wind storm,Cyclone,affects the whole place,affects crops,Helena,millets (small),autumn,seasonal
277,2005,apr,Flood,Flood,heavy rainfall ,affects crops,Lincoln,potato,summer,seasonal
278,2005,jul,Flood,Flood,heavy rainfall ,affects crops,Carson City,mesta,monsoon,seasonal
279,2005,sep,Wind storm,Storm,affects rainfall,affects crops,Concord,ragi,monsoon,seasonal
280,2005,feb,Extreme  temp,Cold wave,cold wind,affects crops,Trenton,onion,spring,occasional
281,2005,may,Flood,Flood,heavy rainfall ,affects crops,Santa Fe,banana,summer,seasonal
282,2005,may,Wind storm,Cyclone,affects rainfall,affects crops,Albany,paddy,summer,seasonal
